code,year,last_ccfr,fert_rank
DEUTW,2007,1.60708,1
AUT,2007,1.71854,2
ITA,2007,1.72913,3
CHE,2007,1.7926600000000001,4
DEUTE,2007,1.82822,5
CAN,2007,1.84879,6
UKR,2007,1.86128,7
RUS,2007,1.86664,8
ESP,2007,1.86977,9
BEL,2007,1.8705100000000001,10
NLD,2007,1.87124,11
LVA,2007,1.9098300000000001,12
GBR_SCO,2007,1.91023,13
JPN,2007,1.91843,14
DNK,2007,1.922285,15
SVN,2007,1.9228,16
BLR,2007,1.92776,17
BIH,2007,1.9437483333333334,18
LTU,2007,1.95879,19
FIN,2007,1.9589,20
GRC,2007,1.96696,21
HRV,2007,1.98957,22
GBRTENW,2007,1.99509,23
PRT,2007,1.99685,24
BGR,2007,2.03136,25
HUN,2007,2.04811,26
USA,2007,2.05475,27
KOR,2007,2.05649,28
SWE,2007,2.05817,29
CZE,2007,2.0582,30
EST,2007,2.08963,31
NOR,2007,2.09981,32
FRA,2007,2.13373,33
SVK,2007,2.19646,34
POL,2007,2.21427,35
AUS,2007,2.21917,36
ROU,2007,2.2311900000000002,37
TWN,2007,2.26434,38
MKD,2007,2.28519,39
MDA,2007,2.3955516666666665,40
NZL,2007,2.42378,41
GBR_NIR,2007,2.48815,42
ISL,2007,2.52343,43
IRL,2007,2.52549,44
ALB,2007,3.03836,45
