"","x"
"1","#7B0290"
"2","#7B0392"
"3","#7C0495"
"4","#7D0597"
"5","#7E0699"
"6","#7F079C"
"7","#80089E"
"8","#8109A0"
"9","#810AA3"
"10","#820BA5"
"11","#830CA8"
"12","#830CAB"
"13","#840CAE"
"14","#850DB1"
"15","#850FB3"
"16","#8611B5"
"17","#8613B8"
"18","#8615BA"
"19","#8618BC"
"20","#861ABE"
"21","#861DC0"
"22","#861FC2"
"23","#8622C4"
"24","#8624C6"
"25","#8527C8"
"26","#8529CB"
"27","#852BCC"
"28","#852DCE"
"29","#842FD0"
"30","#8431D2"
"31","#8433D4"
"32","#8335D6"
"33","#8337D8"
"34","#8238DA"
"35","#823ADB"
"36","#813CDD"
"37","#813EDF"
"38","#8040E0"
"39","#8042E2"
"40","#7F44E4"
"41","#7F45E6"
"42","#7E47E8"
"43","#7D48EA"
"44","#7D4AEB"
"45","#7A4DEE"
"46","#794EF0"
"47","#7850F1"
"48","#7751F2"
"49","#7653F4"
"50","#7554F5"
"51","#7556F7"
"52","#7357F8"
"53","#7359FA"
"54","#725AFB"
"55","#715BFB"
"56","#715CFC"
"57","#705EFC"
"58","#6F5FFC"
"59","#6E61FD"
"60","#6E62FD"
"61","#6D64FD"
"62","#6C65FE"
"63","#6C67FE"
"64","#6A68FE"
"65","#6A6AFE"
"66","#696BFF"
"67","#696CFF"
"68","#686EFF"
"69","#6870FE"
"70","#6871FE"
"71","#6773FD"
"72","#6774FD"
"73","#6676FC"
"74","#6577FB"
"75","#6478FA"
"76","#637AF9"
"77","#627CF8"
"78","#617EF6"
"79","#6180F5"
"80","#6082F4"
"81","#5F83F3"
"82","#5E84F2"
"83","#5D86F1"
"84","#5C87F0"
"85","#5B88EF"
"86","#5A89EE"
"87","#5A8AED"
"88","#598BEC"
"89","#588DEA"
"90","#578EE9"
"91","#568FE8"
"92","#5590E7"
"93","#5491E6"
"94","#5493E4"
"95","#5294E3"
"96","#5296E1"
"97","#5197E0"
"98","#5098DF"
"99","#4F99DE"
"100","#4E9ADD"
"101","#4D9CDB"
"102","#4C9DDA"
"103","#4C9ED9"
"104","#4B9FD8"
"105","#4AA0D7"
"106","#49A1D6"
"107","#48A3D4"
"108","#47A4D3"
"109","#46A5D2"
"110","#45A7D0"
"111","#43A9CD"
"112","#42AACB"
"113","#41ABCA"
"114","#40ACC8"
"115","#40ADC7"
"116","#3FAEC5"
"117","#3EAFC4"
"118","#3DB0C3"
"119","#3CB1C1"
"120","#3CB2BF"
"121","#3BB3BE"
"122","#3AB4BD"
"123","#39B5BB"
"124","#38B6B9"
"125","#38B6B8"
"126","#37B8B6"
"127","#37B8B5"
"128","#38B9B3"
"129","#39BAB1"
"130","#39BBB0"
"131","#3ABCAF"
"132","#3ABCAD"
"133","#3BBDAB"
"134","#3BBEAA"
"135","#3CBFA8"
"136","#3DC0A6"
"137","#3DC0A4"
"138","#3EC1A3"
"139","#3EC1A1"
"140","#3FC29F"
"141","#40C39E"
"142","#40C49C"
"143","#41C599"
"144","#42C696"
"145","#43C794"
"146","#43C893"
"147","#44C991"
"148","#45CA8F"
"149","#45CA8D"
"150","#46CB8C"
"151","#46CB8A"
"152","#46CC88"
"153","#47CD86"
"154","#47CD85"
"155","#48CE83"
"156","#48CF81"
"157","#49D080"
"158","#49D07E"
"159","#4AD17C"
"160","#4BD27A"
"161","#4BD278"
"162","#4CD376"
"163","#4CD374"
"164","#4DD472"
"165","#4DD471"
"166","#4ED56F"
"167","#4FD66D"
"168","#4FD66B"
"169","#50D76A"
"170","#50D768"
"171","#51D866"
"172","#52D965"
"173","#52D964"
"174","#53DA62"
"175","#54DB5F"
"176","#55DC5C"
"177","#56DC5A"
"178","#57DD58"
"179","#58DE57"
"180","#58DE55"
"181","#59DF54"
"182","#59DF52"
"183","#59E051"
"184","#5AE150"
"185","#5AE14F"
"186","#5BE24E"
"187","#5BE24C"
"188","#5CE34A"
"189","#5CE349"
"190","#5DE447"
"191","#5FE547"
"192","#60E547"
"193","#62E548"
"194","#63E548"
"195","#65E648"
"196","#67E649"
"197","#68E749"
"198","#6AE74A"
"199","#6CE74A"
"200","#6EE84B"
"201","#6FE84B"
"202","#71E84C"
"203","#73E94D"
"204","#74E94D"
"205","#76E94D"
"206","#78E94D"
"207","#7BE94E"
"208","#7EE94F"
"209","#82EA50"
"210","#84EB50"
"211","#86EB50"
"212","#88EB51"
"213","#8AEB51"
"214","#8CEB52"
"215","#8EEB52"
"216","#91EB52"
"217","#93EC53"
"218","#95EC53"
"219","#98EC54"
"220","#9AEC54"
"221","#9CEC54"
"222","#9FEC55"
"223","#A1EC55"
"224","#A3EC55"
"225","#A4EC55"
"226","#A5EC55"
"227","#A6EC56"
"228","#A8EC56"
"229","#ABEC56"
"230","#ACEC56"
"231","#ADEC56"
"232","#AEEC56"
"233","#B0EC57"
"234","#B2EC57"
"235","#B4EC57"
"236","#B4EC57"
"237","#B6EC57"
"238","#B7EC58"
"239","#B8EC58"
"240","#B8EC58"
"241","#BBEC58"
"242","#BDEC58"
"243","#BFEC59"
"244","#C0EC59"
"245","#C0EC59"
"246","#C2EC59"
"247","#C5EC59"
"248","#C7EC5A"
"249","#C8EC5A"
"250","#C9EC5A"
"251","#CAEC5A"
"252","#CCEC5A"
"253","#CCEC5A"
"254","#CDEC5A"
"255","#CFEC5B"
"256","#D1EB5B"
